term_normalized,predicted_category,best_score
lines,anecdotes/miscellaneous,3.397861
little dishes,food,0.823167
live entertainment,ambience,3.308594
live music,ambience,3.308594
lobby,service,2.376533
lobby area,service,2.376533
lobster bisque,food,0.823167
lobster ravioli,food,0.823167
lobster sandwich,food,0.823167
lobster teriyaki,food,0.823167
located,ambience,3.308594
location,price,3.428888
look,ambience,3.308594
lotus leaf wrapped rice,service,2.376533
lox,food,0.823167
lox spread,food,0.823167
lunch,anecdotes/miscellaneous,2.574739
lunch buffet,anecdotes/miscellaneous,3.397861
lunch food,food,0.823167
lunch meetings,anecdotes/miscellaneous,3.397861
lunch menu,food,0.823167
lunch special,price,4.428888
lunch specials,food,0.823167
mahi mahi on saffron risotto,food,0.823167
main course,service,1.054605
main courses,food,0.823167
main dining room,ambience,3.308594
main dishes,price,3.428888
main entree,food,0.823167
maine lobster,food,0.823167
maitre,service,2.376533
makhani,food,0.823167
malai kofta,food,0.823167
malai tikka wrap,food,0.823167
man,service,2.376533
management,service,1.79157
manager,service,2.376533
mango chicken,food,0.823167
margarita,food,0.823167
margarite pizza with cold prosciutto and baby arugula on top,food,0.823167
margheritta,food,0.823167
martini,food,0.823167
martinis,food,0.823167
mascarpone with chocolate chip,food,0.823167
mashed potatoes,food,0.823167
mayo,food,0.823167
mayonnaise,food,0.823167
meal,anecdotes/miscellaneous,0.397861
meals,food,0.823167
meat,food,0.823167
meat dishes,food,0.823167
meatballs,food,0.823167
meats,food,0.823167
mediterranean salad,food,0.823167
menu,food,0.588702
menu choices,food,0.823167
menu description,food,0.823167
menu items,anecdotes/miscellaneous,1.812899
menu selections,service,2.376533
mesclun,food,0.823167
mexican food,anecdotes/miscellaneous,3.397861
mimosas,service,2.376533
miso soup,food,0.823167
mix of greens,food,0.823167
mixed drink special,food,0.823167
mixed drinks,food,0.823167
money,price,2.843926
moules,food,0.823167
mozzarella,food,0.823167
msg cooking,food,0.823167
mushroom consomme,food,0.823167
mushroom pizza,food,0.823167
mushroom ravioli,price,4.428888
mushrooms,price,4.428888
music,ambience,3.308594
mussaman curry,food,0.823167
mussel selection,food,0.823167
mussels,food,0.823167
mussels in spicy tomato sauce,food,0.823167
naan,anecdotes/miscellaneous,1.812899
neapolitan fare,food,0.823167
nebbiolo,food,0.823167
new england chowder,food,0.823167
new york bagel,anecdotes/miscellaneous,3.397861
night scene,ambience,3.308594
nightcap,ambience,3.308594
noise,anecdotes/miscellaneous,2.397861
noise level,ambience,2.308594
non-veg selections,food,0.823167
noodle and rices dishes,food,0.823167
noodle dishes,food,0.823167
noodle soup dishes,food,0.823167
noodles,price,2.843926
noodles with ground beef,food,0.823167
nori,food,0.823167
nori-wrapped tuna,food,0.823167
oatmeal,food,0.823167
obv caviar,food,0.823167
octopus salad,food,0.823167
office lunch,anecdotes/miscellaneous,3.397861
oil,anecdotes/miscellaneous,1.812899
okra bindi ,food,0.823167
olive cream cheese,food,0.823167
omelet,food,0.823167
omelletes,food,0.823167
onglet,food,0.823167
onion soup,food,0.823167
onions,food,0.823167
open faced cheese sandwich,service,2.376533
open kitchen,ambience,3.308594
order,service,2.376533
ordering a la carte,food,0.823167
outdoor atmosphere,ambience,3.308594
outdoor seating,ambience,3.308594
outside,service,2.376533
owner,service,1.724456
owners,anecdotes/miscellaneous,2.397861
oyster,anecdotes/miscellaneous,3.397861
oysters,food,0.823167
pad penang,food,0.823167
pad se-ew,food,0.823167
pad see ew,food,0.823167
pad thai,food,0.823167
pad thai chicken,food,0.823167
pakistani food,food,0.823167
palak paneer,food,0.823167
pam's special fried fish,food,0.823167
panang duck,food,0.823167
panchetta,food,0.823167
paneer roll,food,0.823167
panini,food,0.823167
paninis,food,0.823167
paratha bread,food,0.823167
parathas,food,0.823167
parmesean porcini souffle,food,0.823167
pasta,food,0.501239
pasta dishes,food,0.823167
pasta entre'es,food,0.823167
pastas,food,0.823167
pastrami,food,0.823167
pastrami on challah sandwich,food,0.823167
pastrami or corned beef,food,0.823167
pastrami sandwich,food,0.823167
pastrami sandwiches,anecdotes/miscellaneous,3.397861
pastries,food,0.823167
patio,ambience,3.308594
peanut sauce,food,0.823167
pelligrino,food,0.823167
people,service,2.15414
pepper,food,0.823167
pepper powder,food,0.823167
personal herb garden,ambience,3.308594
personal pans,food,0.823167
pesto pizza,food,0.823167
peter's favourite pizza with prosciutto and baby arugula,food,0.823167
pho,food,0.823167
pickels and slaw,price,4.428888
pickles,food,0.823167
pie,food,0.823167
pieces of sushi,food,0.823167
pig feet ginger simmered in black vinegar,food,0.823167
pinot noir,price,4.428888
pistachio ice cream,food,0.823167
pita,service,2.376533
pita bread,food,0.823167
pizza,anecdotes/miscellaneous,1.112459
pizzas,food,0.823167
place,ambience,2.893556
places,food,0.823167
plain cheese slice,food,0.823167
plain pizza,food,0.823167
plain slice,food,0.823167
plastic forks,service,2.376533
plate,food,0.823167
plate of dumplings,anecdotes/miscellaneous,3.397861
plates,service,1.376533
platter,food,0.823167
popcorn topping,food,0.823167
porcini mushroom pasta special,food,0.823167
pork,food,0.823167
pork belly,food,0.823167
pork buns,food,0.823167
pork chop,food,0.823167
pork chops,food,0.823167
pork loin,food,0.823167
portioins,food,0.823167
portion,food,0.823167
portion size,food,0.823167
portion sizes,food,0.823167
portions,food,0.823167
portraits,ambience,3.308594
pot of boiling water,food,0.823167
pot-stickers,food,0.823167
potato,food,0.823167
potato chips,food,0.823167
potato pancakes,food,0.823167
pre-fixe menu,food,0.823167
pre-theater menu,food,0.823167
pre-theatre 3-course dinner,food,0.823167
pre-theatre menu,price,4.428888
presentation,food,0.823167
price,price,4.066318
price category,service,2.376533
price tag,price,4.428888
priced,price,4.165854
prices,price,4.354888
privacy,ambience,3.308594
private room,service,2.376533
prix fix,price,4.428888
prix fixe,food,0.823167
prix fixe lunch,food,0.823167
prix fixe meal,price,4.428888
prix fixe pricing,anecdotes/miscellaneous,3.397861
pub,ambience,3.308594
pub atmosphere,ambience,3.308594
pudding dessert,food,0.823167
puff pastry goat cheese,food,0.823167
pumkin tortelini,food,0.823167
quail,food,0.823167
qualities,food,0.823167
quality,food,0.823167
quality of food,food,0.823167
quality value,anecdotes/miscellaneous,3.397861
quantity,food,0.823167
quasi-thai,food,0.823167
raddichio,food,0.823167
rasamalai,food,0.823167
ravioli,food,0.823167
raw vegatables,food,0.823167
red curry,food,0.823167
red wine,service,2.376533
refleshment,anecdotes/miscellaneous,3.397861
regular menu-fare,food,0.823167
reputation,service,2.376533
reservation,anecdotes/miscellaneous,1.912434
reservation sigh,service,2.376533
reservations,service,1.917101
reuben sandwich,food,0.823167
rice,price,0.521998
rice congee soup,anecdotes/miscellaneous,3.397861
rice dishes,price,3.428888
rice to fish ration,food,0.823167
roast chicken,food,0.823167
roast duck,food,0.823167
roast pork buns,food,0.823167
rock shrimp tempura,food,0.823167
rolls,price,1.621533
roofdeck,ambience,3.308594
room,ambience,2.308594
root vegetables,food,0.823167
rose special roll,food,0.823167
roti,food,0.823167
roti rolls,food,0.823167
round of drinks,service,2.376533
rush,ambience,3.308594
rye bread,food,0.823167
sake,price,2.10696
sake martini,food,0.823167
sake menu,food,0.823167
salad,food,0.823167
salad with a delicious dressing,food,0.823167
salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil,food,0.823167
salads,food,0.823167
salmon,food,0.823167
salmon caserole,food,0.823167
salmon dish,food,0.823167
salt pepper shrimps,food,0.823167
samosa chaats,food,0.823167
sandwhiches,food,0.823167
sandwich,service,1.376533
sandwiches,price,4.428888
sangria,anecdotes/miscellaneous,1.812899
santa fe chopped salad,food,0.823167
sardines with biscuits,food,0.823167
sashimi,food,0.823167
sashimi plate,food,0.823167
sauce,food,0.823167
sauce on the pizza,food,0.823167
sauces,food,0.823167
saul,food,0.823167
scallion pancake,food,0.823167
scallion pancakes,food,0.823167
scallop roll,food,0.823167
scallops,food,0.823167
scenery,ambience,3.308594
scents,anecdotes/miscellaneous,3.397861
sea bass,food,0.823167
sea eel,food,0.823167
sea salt,food,0.823167
sea urchin,food,0.823167
seafood,food,0.630522
seafood dishes,food,0.823167
seafood tagliatelle,food,0.823167
seasonal beer,food,0.823167
seasoning,food,0.823167
seat,ambience,3.308594
seated,service,2.376533
seating,ambience,2.986666
seating in the garden,service,2.376533
seats,anecdotes/miscellaneous,1.812899
seaweed,food,0.823167
secret back room,ambience,3.308594
selection,food,0.823167
selection of meats and seafoods,food,0.823167
selection of wine,food,0.823167
seltzer with lime,food,0.823167
semi-private boths,ambience,3.308594
servants,service,2.376533
serve,service,2.376533
served,service,1.528536
server,service,2.376533
servers,service,2.376533
serves,service,2.376533
service,service,2.344471
serving,service,0.79157
servings,food,0.823167
sesame chicken,food,0.823167
setting,ambience,3.308594
sevpuri,food,0.823167
shabu-shabu,food,0.823167
shabu-shabu dinner,food,0.823167
shanghai low mein,food,0.823167
shows,ambience,3.308594
shredded cheese,food,0.823167
shredded squid family style,food,0.823167
shrimp,food,0.823167
shrimp appetizers,food,0.823167
shrimp fritters,food,0.823167
shrimp scampi,food,0.823167
shuizhu fish,food,0.823167
sichuan chef,anecdotes/miscellaneous,3.397861
sichuan food,food,0.823167
sichuan spicy soft shell crab,food,0.823167
sicilian,food,0.823167
side,price,4.428888
sides,food,0.823167
singapore mai fun,food,0.823167
slice,anecdotes/miscellaneous,2.397861
smoked salmon and roe appetizer,food,0.823167
snack foods,food,0.823167
snacking,ambience,3.308594
snapple,price,4.428888
sommelier,service,2.376533
somosas,food,0.823167
soup,price,2.843926
soup for the udon,food,0.823167
soups,food,0.823167
soupy dumplings,food,0.823167
sour spicy soup,food,0.823167
southern indian cuisine,food,0.823167
soy sauce,food,0.823167
space,ambience,3.045559
spaghetti with scallops and shrimp,food,0.823167
special,food,0.823167
special effects,ambience,3.308594
special menu,food,0.823167
specials,service,1.054605
spice,food,0.823167
spice rub,food,0.823167
spices,food,0.823167
spicy ethnic foods,food,0.823167
spicy food,food,0.823167
spicy fried clam rolls,food,0.823167
spicy scallop roll,food,0.823167
spicy tuna,food,0.823167
spicy tuna hand rolls,food,0.823167
spicy tuna roll,food,0.823167
spicy wontons,food,0.823167
spider rolls,food,0.823167
spinach,food,0.823167
spinach mushroom calzone,food,0.823167
spinach ravioli in a light oil and garlic sauce,food,0.823167
spot,ambience,3.308594
spot lights,ambience,3.308594
spreads,food,0.823167
squid,food,0.823167
staff,service,2.302532
staff member,service,2.376533
staples,food,0.823167
stauff,ambience,3.308594
steak,food,0.823167
steak au poivre,food,0.823167
steak dish,food,0.823167
steak tartare,food,0.823167
steak with portobello mushrooms,food,0.823167
steaks,food,0.823167
stir fry blue crab,food,0.823167
strawberry daiquiries,food,0.823167
striped bass,food,0.823167
stuff,service,1.961495
stuffing,food,0.823167
styles of pizza,food,0.823167
sugar,service,1.376533
summer rolls,service,1.376533
surroundings,ambience,3.308594
sushi,price,0.621533
sushi bar,anecdotes/miscellaneous,3.397861
sushi chef,food,0.823167
sushi plate,food,0.823167
sushi rolls,food,0.823167
sushimi cucumber roll,food,0.823167
sweet basil fried tofu,food,0.823167
sweet lassi,food,0.823167
table,service,1.592261
table by the window,anecdotes/miscellaneous,3.397861
table grilling,food,0.823167
table service,service,2.376533
tables,ambience,2.656517
taiwanese food,food,0.823167
take out,price,4.428888
take-out pies,food,0.823167
take-out pizza,food,0.823167
takeout,service,2.376533
takeout menu,food,0.823167
tamarind duck,food,0.823167
tamarind margaritas,food,0.823167
tandoori,food,0.823167
tandoori salmon,food,0.823167
tapas,food,0.823167
taste,food,0.823167
tastes,food,0.823167
taxan,food,0.823167
tea room,ambience,3.308594
tempura dish,food,0.823167
terrace,ambience,3.308594
texture,food,0.823167
thai,food,0.823167
thai cuisine,food,0.823167
thai flavors,food,0.823167
thai food,anecdotes/miscellaneous,0.93843
thai ice tea,food,0.823167
thai noodles with shrimp and chicken and coconut juice,food,0.823167
thai popcorn,food,0.823167
thia food,anecdotes/miscellaneous,3.397861
thin crusted pizza,food,0.823167
thin-crust pizza,food,0.823167
three course meal,price,3.428888
times square cocktail,food,0.823167
tip,price,2.10696
tips,service,2.376533
tiramisu,food,0.823167
tiramisu chocolate cake,food,0.823167
toast,food,0.823167
toaster,anecdotes/miscellaneous,2.397861
toasting,food,0.823167
tofu plates,food,0.823167
tom kha soup,food,0.823167
tom yum soup,food,0.823167
tomato sauce,food,0.823167
tomatoes,food,0.823167
tonic,service,2.376533
topping,food,0.823167
toppings,price,2.428888
traditional french decour,ambience,3.308594
traffic noise,ambience,3.308594
tramezzinis,food,0.823167
trays of dim sum,ambience,3.308594
trout,food,0.823167
truffle oil,food,0.823167
tuna,food,0.501239
tuna melt,food,0.823167
tuna sandwich,food,0.823167
tuna tartar appetizer,food,0.823167
tuna tartare,price,4.428888
turkey burger,food,0.823167
turnip cake,food,0.823167
tuscan cuisine,food,0.823167
unda egg rolls,food,0.823167
valentines day dinner,anecdotes/miscellaneous,3.397861
value,anecdotes/miscellaneous,3.397861
value ofr money,price,4.428888
values for your money,price,4.428888
variety of dishes,food,0.823167
variety of fish,food,0.823167
veal parmigana,food,0.823167
vegetable juice,food,0.823167
vegetable samosa,food,0.823167
vegetables,food,0.823167
vegetarian dishes,food,0.823167
vegetarian entree,food,0.823167
vegetarian-friendly choices,food,0.823167
vibe,ambience,3.308594
view,ambience,3.308594
wait,anecdotes/miscellaneous,2.310398
wait staff,service,2.376533
wait time,anecdotes/miscellaneous,2.397861
waiter,service,2.071678
waiter traffic,ambience,3.308594
waiters,service,2.15414
waiting,anecdotes/miscellaneous,1.812899
waiting area,ambience,3.308594
waitress,service,2.087026
waitresses,service,2.376533
waitstaff,service,2.376533
walnuts,food,0.823167
wasabe potatoes,food,0.823167
wasabi,food,0.823167
water,service,1.376533
water and wine glasses,service,2.376533
white bean brushetta,food,0.823167
white chocolate bread pudding with gelato and hot chocolate,food,0.823167
white tuna sashimi,food,0.823167
white wine,food,0.823167
whitefish,food,0.823167
whitefish salad,food,0.823167
whole grilled fish,food,0.823167
wild mushroom third generation-fornini pizza,food,0.823167
wine,price,0.969456
wine by the glass,food,0.823167
wine choices,food,0.823167
wine flight,food,0.823167
wine list,food,0.823167
wine list selection,food,0.823167
wine menu,food,0.823167
wine selection,food,0.823167
wine-by-the-glass,food,0.823167
wines,food,0.823167
wines by the glass,food,0.823167
wintermelon,food,0.823167
workers,service,1.376533
yellowfun tuna,food,0.823167
yellowtail,food,0.823167
zen feel,ambience,3.308594
zucchini,food,0.823167
